,지하철명,4시~5시,5시~6시,6시~7시,7시~8시,8시~9시,9시~10시,10시~11시,11시~12시,12시~13시,13시~14시,14시~15시,15시~16시,16시~17시,17시~18시,18시~19시,19시~20시,20시~21시,21시~22시,22시~23시,23시~24시,24시~1시,1시~2시,2시~3시,3시~4시,X좌표,Y좌표,_PARCEL_AD
391,가평,0.0,777.0,2519.0,5541.0,10013.0,7254.0,7657.0,10025.0,8298.0,7332.0,8673.0,10095.0,10238.0,11200.0,8648.0,5572.0,3504.0,2555.0,1824.0,1165.0,275.0,0.0,0.0,0.0,127.510739,37.814536,경기도 가평군 가평읍 달전리 603-29
392,굴봉산,0.0,61.0,102.0,283.0,566.0,564.0,795.0,830.0,528.0,635.0,710.0,769.0,602.0,488.0,323.0,340.0,270.0,121.0,85.0,61.0,13.0,0.0,0.0,0.0,127.557695,37.832067,강원도 춘천시 남산면 백양리 588-30
393,백양리,0.0,17.0,62.0,324.0,300.0,211.0,376.0,453.0,333.0,384.0,397.0,453.0,372.0,443.0,319.0,113.0,119.0,94.0,58.0,40.0,12.0,0.0,0.0,0.0,127.58933,37.830779,강원도 춘천시 남산면 강촌리 680-4
394,강촌,1.0,160.0,324.0,721.0,2516.0,2672.0,2679.0,3246.0,2002.0,2435.0,2671.0,3061.0,3415.0,2795.0,1988.0,1006.0,833.0,568.0,391.0,218.0,33.0,0.0,0.0,0.0,127.634146,37.805723,강원도 춘천시 남산면 방곡리 408
395,김유정,3.0,138.0,274.0,1090.0,1431.0,1365.0,2130.0,2156.0,2232.0,2137.0,2191.0,2481.0,2317.0,2137.0,1488.0,670.0,448.0,350.0,189.0,141.0,43.0,0.0,0.0,0.0,127.71434,37.818466,강원도 춘천시 신동면 증리 945-1
396,남춘천,546.0,1365.0,4231.0,7182.0,10446.0,10619.0,9939.0,13375.0,14057.0,11185.0,11632.0,13557.0,12920.0,13005.0,11576.0,12443.0,6211.0,6065.0,5856.0,2799.0,1774.0,0.0,0.0,0.0,127.723792,37.864007,강원도 춘천시 퇴계동 633-2
397,춘천,290.0,504.0,1726.0,3092.0,6963.0,8470.0,6817.0,7534.0,6844.0,7692.0,7830.0,10871.0,10364.0,9161.0,6936.0,5379.0,2987.0,2502.0,1780.0,1361.0,577.0,0.0,0.0,0.0,127.717023,37.885054,강원도 춘천시 근화동 190
398,청라국제도시,97.0,5179.0,23184.0,41100.0,40457.0,19205.0,13167.0,12784.0,13536.0,13445.0,13081.0,14397.0,20580.0,29801.0,44790.0,31906.0,17831.0,15376.0,15585.0,8709.0,3320.0,0.0,0.0,0.0,126.624648,37.556409,인천광역시 서구 청라동 3-50
399,운서,60.0,11162.0,26237.0,42021.0,40413.0,24342.0,18190.0,20052.0,21908.0,19674.0,20259.0,22661.0,28356.0,37159.0,46376.0,31016.0,26453.0,24316.0,21092.0,14340.0,4639.0,1.0,0.0,0.0,126.49379,37.492904,인천광역시 중구 운서동 1427-27
400,공항화물청사,1.0,1098.0,7847.0,14383.0,24782.0,5369.0,2866.0,3490.0,3856.0,2571.0,3189.0,3729.0,7130.0,12254.0,18992.0,5019.0,4269.0,3467.0,2767.0,692.0,94.0,0.0,0.0,0.0,126.477516,37.459041,인천광역시 중구 운서동 2844-7
