,정류장명,24시~1시,1시~2시,2시~3시,3시~4시,4시~5시,5시~6시,6시~7시,7시~8시,8시~9시,9시~10시,10시~11시,11시~12시,12시~13시,13시~14시,14시~15시,15시~16시,16시~17시,17시~18시,18시~19시,19시~20시,20시~21시,21시~22시,22시~23시,23시~24시,X좌표,Y좌표,_ROAD_AD
4515,효창공원역,0.0,0.0,0.0,0.0,0.0,0.0,2940.0,16120.0,29400.0,16500.0,11480.0,12120.0,11760.0,10580.0,12500.0,17220.0,25220.0,14500.0,18620.0,11740.0,6960.0,6380.0,7300.0,960.0,126.9610378658,37.5387860159,서울특별시 용산구 효창원로 117
4516,경기여상입구.서울역서부,0.0,0.0,0.0,0.0,0.0,0.0,2360.0,6140.0,12000.0,5800.0,6760.0,6280.0,7340.0,8080.0,8080.0,9200.0,9500.0,12220.0,14520.0,11540.0,8620.0,9900.0,7420.0,1080.0,,,
4517,청파초등학교,0.0,0.0,0.0,0.0,0.0,0.0,7360.0,27720.0,47840.0,31380.0,24380.0,26760.0,28700.0,30740.0,34020.0,42200.0,53120.0,50920.0,63320.0,60120.0,43780.0,41420.0,38720.0,13020.0,126.9635056923,37.5484699816,서울특별시 용산구 청파동1가 효창원로 240
4518,배문중고교,0.0,0.0,0.0,0.0,0.0,0.0,1900.0,22140.0,19980.0,8680.0,9540.0,8100.0,8580.0,8960.0,9320.0,12740.0,15860.0,12660.0,15000.0,14020.0,10800.0,8980.0,7640.0,3880.0,126.963728852,37.550381273,서울특별시 용산구 효창원로 259-1
4519,만리시장입구,0.0,0.0,0.0,0.0,0.0,0.0,5220.0,21960.0,33740.0,21460.0,21160.0,22180.0,22920.0,24980.0,26500.0,39560.0,49160.0,39780.0,44280.0,34320.0,25180.0,20840.0,21060.0,4360.0,126.9631453007,37.5517759871,서울특별시 용산구 효창원로 278
4520,배문중고등학교,0.0,0.0,0.0,0.0,0.0,0.0,3160.0,14160.0,10660.0,8320.0,9280.0,11760.0,10340.0,10200.0,14700.0,21940.0,27260.0,23560.0,24300.0,21020.0,14000.0,13740.0,14700.0,1540.0,126.9636168092,37.5503749309,서울특별시 용산구 효창원로 259-1
4521,염창역1번출구.강서평생학습관,0.0,0.0,0.0,0.0,0.0,513.0,4256.0,9139.0,18886.0,10298.0,8360.0,11552.0,12483.0,19988.0,21660.0,25555.0,32566.0,41344.0,71364.0,72257.0,33649.0,44251.0,32699.0,3743.0,126.8737556441,37.5472979883,서울특별시 강서구 공항대로 621
4522,한마음아파트,0.0,0.0,0.0,0.0,0.0,342.0,6308.0,18202.0,12141.0,8930.0,7828.0,7809.0,8759.0,9120.0,11609.0,11514.0,16302.0,16701.0,18544.0,18392.0,11913.0,12293.0,9253.0,2280.0,126.8678151019,37.5550445028,서울특별시 강서구 양천로67길 21
4523,이마트.증미역,0.0,0.0,0.0,0.0,0.0,950.0,3800.0,7486.0,8398.0,4275.0,4047.0,3040.0,2622.0,4161.0,3933.0,3952.0,3914.0,4921.0,8626.0,3458.0,2090.0,1710.0,1463.0,171.0,126.8626080867,37.557180458,서울특별시 강서구 양천로 576
4524,등촌강변샤르망오피스텔,0.0,0.0,0.0,0.0,0.0,0.0,1026.0,5776.0,3838.0,4503.0,2223.0,2641.0,4066.0,3021.0,4180.0,4712.0,4066.0,4427.0,4655.0,3477.0,2090.0,2147.0,1672.0,418.0,126.8571485471,37.558624739,서울특별시 강서구 화곡로68길 47
4525,등촌현대아파트,0.0,0.0,0.0,0.0,0.0,0.0,1064.0,3002.0,3553.0,4731.0,2565.0,2527.0,2869.0,2508.0,2831.0,4123.0,6289.0,3724.0,5149.0,2983.0,2052.0,3097.0,2223.0,323.0,126.8550855865,37.5566172929,서울특별시 강서구 공항대로45길 33
4526,대림아파트,4705.0,236.0,0.0,0.0,981.0,7179.0,25680.0,78837.0,108323.0,72914.0,69225.0,64946.0,66769.0,66127.0,68559.0,72367.0,81085.0,84034.0,93513.0,68410.0,52639.0,44731.0,42398.0,23241.0,126.9466416761,37.5053838502,서울특별시 동작구 만양로 5
4527,블루나인비지니스센터,0.0,0.0,0.0,0.0,0.0,0.0,323.0,1216.0,2793.0,1710.0,2128.0,1558.0,2090.0,2375.0,2166.0,3059.0,3059.0,4180.0,3895.0,2850.0,2622.0,2375.0,2185.0,513.0,,,
4528,삼천리아파트,0.0,0.0,0.0,0.0,0.0,133.0,8303.0,18677.0,15960.0,6175.0,5586.0,6346.0,4883.0,4959.0,6232.0,5833.0,9215.0,9101.0,8474.0,9576.0,6688.0,5187.0,4845.0,1159.0,126.869805293,37.5561118066,서울특별시 강서구 양천로67길 71-3
4529,우성아파트앞,0.0,0.0,0.0,0.0,0.0,0.0,7828.0,12274.0,10773.0,7258.0,4408.0,4484.0,4180.0,3952.0,5301.0,5263.0,6080.0,5472.0,6669.0,4085.0,3002.0,2888.0,3059.0,684.0,126.8708997,37.5555155833,서울특별시 강서구 양천로67길 99
4530,동아1.2차아파트,0.0,0.0,0.0,0.0,0.0,969.0,21679.0,42351.0,41914.0,26790.0,20957.0,17860.0,21470.0,20463.0,22382.0,26695.0,33022.0,35473.0,38095.0,41116.0,23104.0,22933.0,21432.0,5776.0,126.8720632484,37.5546585833,서울특별시 강서구 양천로69길 65
4531,염창동주민센터,0.0,0.0,0.0,0.0,0.0,0.0,3515.0,6213.0,5890.0,4731.0,4446.0,4009.0,4750.0,5434.0,5320.0,6650.0,9101.0,5035.0,5681.0,3629.0,2869.0,2565.0,1121.0,418.0,126.8710419747,37.553782124,서울특별시 강서구 양천로67가길 63
4532,관음삼성.보람더하임아파트,0.0,0.0,0.0,0.0,0.0,0.0,3287.0,7581.0,18335.0,9709.0,5890.0,5149.0,6365.0,6726.0,7296.0,9234.0,11324.0,12730.0,18867.0,13794.0,7904.0,5833.0,5605.0,1330.0,126.8703510926,37.5520520784,서울특별시 강서구 양천로 660
4533,동아3차아파트,0.0,0.0,0.0,0.0,0.0,0.0,817.0,1387.0,2451.0,3135.0,1881.0,1691.0,2432.0,2432.0,2299.0,3287.0,3382.0,3819.0,5643.0,3325.0,2793.0,3306.0,2527.0,361.0,126.8760290974,37.5494621232,서울특별시 강서구 양천로 721
4534,염창역2번출구,0.0,0.0,0.0,0.0,0.0,0.0,25137.0,57969.0,50996.0,34637.0,26999.0,20197.0,20330.0,17537.0,17214.0,20235.0,17632.0,20026.0,23731.0,12103.0,9044.0,6327.0,4427.0,798.0,126.8760113689,37.547183236,서울특별시 강서구 공항대로 641
4535,기업은행,0.0,0.0,0.0,0.0,0.0,76.0,3591.0,10507.0,24187.0,10735.0,5586.0,4940.0,6441.0,7885.0,9063.0,9728.0,8721.0,9842.0,14915.0,10887.0,8569.0,7600.0,6631.0,2185.0,126.8408606746,37.5660884052,서울특별시 강서구 강서로 456
4536,염창중학교,0.0,0.0,0.0,0.0,0.0,456.0,1045.0,7353.0,6460.0,4655.0,2280.0,3135.0,6764.0,5377.0,6498.0,7144.0,7030.0,9595.0,12635.0,14668.0,9044.0,7068.0,6935.0,1539.0,126.8709339914,37.5533520946,서울특별시 강서구 양천로69길 19
4537,화곡역8번출구,0.0,0.0,0.0,0.0,0.0,114.0,1159.0,1596.0,2831.0,3382.0,2907.0,3648.0,4123.0,5168.0,5681.0,7961.0,10507.0,9424.0,12768.0,9310.0,4541.0,4123.0,4693.0,1501.0,126.8388885788,37.5429294084,서울특별시 강서구 강서로 187
4538,화곡역7번출구,0.0,0.0,0.0,0.0,0.0,76.0,4047.0,6916.0,11058.0,6802.0,9367.0,9481.0,13357.0,16739.0,16663.0,22002.0,28899.0,30362.0,40299.0,43871.0,23256.0,22686.0,27816.0,8702.0,126.8386545056,37.5412701723,서울특별시 강서구 화곡로25길 2
4539,거산아파트,0.0,0.0,0.0,0.0,0.0,0.0,1615.0,3895.0,11001.0,4674.0,4617.0,4009.0,4883.0,7087.0,6441.0,10849.0,9557.0,6593.0,8170.0,6384.0,4218.0,3420.0,2945.0,1501.0,126.8321045274,37.5402896608,서울특별시 양천구 월정로 250
4540,푸르지오APT,0.0,0.0,0.0,0.0,0.0,0.0,4446.0,7125.0,9538.0,8227.0,7714.0,7372.0,9177.0,8759.0,10431.0,12407.0,14497.0,13775.0,14440.0,17765.0,12065.0,8417.0,10507.0,4199.0,126.8311221371,37.5418579682,서울특별시 양천구 월정로50길 10
4541,금호APT,0.0,0.0,0.0,0.0,0.0,722.0,4769.0,11647.0,14630.0,6441.0,6118.0,6479.0,5491.0,7163.0,7771.0,7258.0,8873.0,11229.0,12008.0,10431.0,7125.0,5814.0,6726.0,3135.0,126.8369597981,37.574293801,서울특별시 강서구 양천로47길 90
4542,수명산입구,0.0,0.0,0.0,0.0,0.0,0.0,22078.0,41553.0,36594.0,23807.0,16074.0,17518.0,15561.0,19418.0,18886.0,21052.0,25536.0,24795.0,31407.0,31274.0,20558.0,16777.0,18810.0,8303.0,126.8288756598,37.5434136288,서울특별시 양천구 월정로 299
4543,강서양천교육지원청,0.0,0.0,0.0,0.0,0.0,0.0,2204.0,4541.0,5073.0,5206.0,3059.0,2299.0,2318.0,3895.0,3762.0,3040.0,5168.0,4237.0,2204.0,2109.0,1330.0,779.0,494.0,190.0,126.8306668454,37.5410845627,서울특별시 양천구 월정로 259-4
4544,겸재정선미술관입구,0.0,0.0,0.0,0.0,0.0,0.0,342.0,1159.0,2679.0,3344.0,1501.0,1862.0,1311.0,2584.0,2166.0,1786.0,2964.0,2565.0,2641.0,1292.0,817.0,779.0,513.0,418.0,126.8374304603,37.5718308684,서울특별시 강서구 양천로47길 30
4545,변전소,0.0,0.0,0.0,0.0,0.0,475.0,4047.0,12958.0,12901.0,7619.0,5396.0,4959.0,5662.0,5776.0,5567.0,5681.0,6612.0,4807.0,5358.0,4085.0,3116.0,2527.0,2147.0,855.0,126.8377373459,37.5707472783,서울특별시 강서구 양천로47길 12
4546,봉천고개관악현대아파트,0.0,0.0,0.0,0.0,0.0,5225.0,19209.0,46245.0,54768.0,36338.0,23309.0,18052.0,16696.0,17975.0,15508.0,13781.0,15267.0,13827.0,12350.0,7652.0,5105.0,4447.0,3209.0,1486.0,126.956601184,37.4913451421,서울특별시 관악구 관악로 306
4547,숭실대입구역2번출구,0.0,0.0,0.0,0.0,0.0,4636.0,10203.0,27075.0,32927.0,20520.0,22116.0,26790.0,34751.0,42978.0,46588.0,62377.0,70699.0,90630.0,125647.0,118864.0,85538.0,77444.0,69996.0,33896.0,126.9534532346,37.4961152871,서울특별시 동작구 상도로 364-1
4548,봉천고개현대아파트,0.0,0.0,0.0,0.0,0.0,1482.0,1349.0,5624.0,4769.0,3819.0,3401.0,4731.0,6479.0,7220.0,7695.0,8626.0,10545.0,11362.0,15409.0,13718.0,9101.0,9747.0,8987.0,6517.0,126.9561179839,37.4918793182,서울특별시 동작구 상도로68길 29
4549,신협,3646.0,455.0,0.0,0.0,0.0,3230.0,13993.0,31810.0,43792.0,28205.0,22750.0,22909.0,23725.0,27554.0,23917.0,29466.0,33550.0,34432.0,41891.0,33877.0,22270.0,20783.0,19032.0,14280.0,126.9464550405,37.4832139179,서울특별시 관악구 양녕로 11
4550,관악드림타운2단지.선의관악복지관,228.0,0.0,0.0,0.0,0.0,21337.0,30723.0,60895.0,77102.0,48488.0,43833.0,46987.0,46835.0,48944.0,47690.0,55309.0,54910.0,62833.0,71079.0,58254.0,37392.0,31806.0,31426.0,17974.0,,,
4551,구암어린이집앞,114.0,0.0,0.0,0.0,0.0,2261.0,10279.0,26847.0,31027.0,17746.0,11666.0,12312.0,12749.0,13452.0,13908.0,15998.0,19323.0,22705.0,25669.0,20691.0,12578.0,11571.0,11571.0,6536.0,126.9472857817,37.4910229637,서울특별시 관악구 구암길 77
