,지역,24시~1시,1시~2시,2시~3시,3시~4시,4시~5시,5시~6시,6시~7시,7시~8시,8시~9시,9시~10시,10시~11시,11시~12시,12시~13시,13시~14시,14시~15시,15시~16시,16시~17시,17시~18시,18시~19시,19시~20시,20시~21시,21시~22시,22시~23시,23시~24시,총합
232,서울 중구 장충동,31643.0,8849.0,3929.0,5184.0,7754.0,87588.0,206716.0,336166.0,761157.0,553197.0,487278.0,490707.0,484447.0,515950.0,546387.0,571700.0,606984.0,668323.0,830708.0,462509.0,383607.0,380328.0,259607.0,115479.0,8806197.0
233,서울 중구 주교동,3124.0,53.0,0.0,0.0,10.0,3576.0,25088.0,58954.0,140211.0,77348.0,54450.0,56832.0,57212.0,61011.0,62464.0,63830.0,71766.0,111219.0,135492.0,57824.0,34877.0,30957.0,22290.0,11452.0,1140040.0
234,서울 중구 중림동,86290.0,20430.0,9751.0,9927.0,57897.0,205507.0,309661.0,626495.0,1102719.0,673824.0,501783.0,538728.0,576312.0,642418.0,633178.0,700413.0,802053.0,962600.0,1215239.0,787775.0,571218.0,547316.0,478528.0,235376.0,12295438.0
235,서울 중구 청구동,26132.0,3440.0,735.0,756.0,231.0,22221.0,65595.0,147705.0,268132.0,187097.0,165478.0,169857.0,187461.0,208716.0,208190.0,254435.0,294745.0,309020.0,389940.0,326993.0,244658.0,233515.0,233025.0,128642.0,4076719.0
236,서울 중구 필동,25236.0,15666.0,9490.0,8242.0,35330.0,133014.0,174477.0,368272.0,711649.0,536334.0,461226.0,504891.0,543085.0,578601.0,601602.0,667355.0,687836.0,756128.0,871753.0,582108.0,410695.0,375718.0,258094.0,117208.0,9434010.0
237,서울 중구 황학동,57615.0,12574.0,714.0,1323.0,3354.0,45519.0,130932.0,247255.0,392401.0,334691.0,295853.0,293451.0,313925.0,292349.0,291688.0,314817.0,354161.0,378517.0,426216.0,350202.0,268466.0,259748.0,236526.0,156248.0,5458545.0
238,서울 중구 회현동,353029.0,107367.0,36191.0,41469.0,271923.0,972290.0,1131205.0,2125500.0,3364068.0,2698916.0,2255922.0,2411862.0,2644988.0,2691849.0,2696003.0,2995660.0,3091976.0,3462924.0,3774379.0,2342049.0,1822468.0,1733610.0,1407972.0,756474.0,45190094.0
239,서울 중랑구 망우동,163831.0,35050.0,1712.0,682.0,187367.0,404509.0,645167.0,1649108.0,2204056.0,1270351.0,1116290.0,1056918.0,1170485.0,1200446.0,1174371.0,1398290.0,1773641.0,1697953.0,1899921.0,1566027.0,959349.0,852996.0,676481.0,367762.0,23472763.0
240,서울 중랑구 면목동,487988.0,109627.0,47833.0,42053.0,605987.0,1209780.0,2119812.0,4896075.0,7096253.0,4390433.0,3370336.0,3064401.0,3499938.0,3614626.0,3498558.0,4178927.0,5093776.0,5289787.0,5715200.0,5229643.0,3265153.0,2961689.0,2430563.0,1236065.0,73454503.0
241,서울 중랑구 묵동,99614.0,32005.0,20436.0,21996.0,161959.0,219633.0,371242.0,848338.0,1186285.0,819497.0,662968.0,641381.0,704555.0,759227.0,726750.0,819285.0,956254.0,982186.0,1084545.0,935892.0,667243.0,599221.0,543994.0,307817.0,14172323.0
242,서울 중랑구 상봉동,285780.0,61063.0,18853.0,17548.0,325697.0,573371.0,975611.0,2113882.0,3180680.0,1928034.0,1626119.0,1582267.0,1814955.0,1917363.0,1900414.0,2126505.0,2507150.0,2732093.0,3227401.0,2665053.0,1738428.0,1574071.0,1273794.0,633406.0,36799538.0
243,서울 중랑구 신내동,196066.0,24832.0,782.0,8121.0,194336.0,424041.0,921449.0,2426133.0,3239321.0,1758595.0,1349734.0,1287182.0,1348169.0,1506430.0,1485548.0,1693551.0,2032158.0,2192716.0,2535276.0,2055873.0,1324985.0,1186744.0,1024520.0,501017.0,30717579.0
244,서울 중랑구 중화동,128447.0,32664.0,16276.0,14118.0,172614.0,314354.0,472182.0,1012202.0,1529779.0,960880.0,747470.0,720406.0,778788.0,818201.0,793670.0,868223.0,1054798.0,1122895.0,1325696.0,1142470.0,780903.0,704396.0,633412.0,368939.0,16513783.0
